Note code,Note coe,Hz,cycles,cycles/255,real freq.,abs. Error (Hz),rel. error (%)
1,1.0594631,8.6611102891,1847338,7244,8.6616645554,0.0005542662,0.006399073
2,1.0594631,9.1761267564,1743655,6838,9.1759429715,-0.0001837849,-0.002002899
3,1.0594631,9.7217676993,1645791,6454,9.7218930956,0.0001253963,0.0012898344
4,1.0594631,10.2998541442,1553420,6092,10.2995893039,-0.0002648403,-0.0025713677
5,1.0594631,10.9123154012,1466233,5750,10.9121909633,-0.0001244378,-0.0011403559
6,1.0594631,11.5611955031,1383940,5427,11.5616543282,0.0004588251,0.0039685076
7,1.0594631,12.2486600274,1306265,5123,12.2477255591,-0.0009344683,-0.0076297293
8,1.0594631,12.9770033235,1232950,4835,12.9772695014,0.0002661779,0.0020511088
9,1.0594631,13.7486561698,1163750,4564,13.7478304205,-0.0008257493,-0.0060063971
10,1.0594631,14.5661938865,1098434,4308,14.5647859887,-0.0014078978,-0.0096664504
11,1.0594631,15.4323449302,1036783,4066,15.4316522477,-0.0006926825,-0.0044887123
12,1.0594631,16.35,978593,3838,16.3483840644,-0.0016159356,-0.009884375
13,1.0594631,17.322221685,923669,3622,17.3233291108,0.0011074258,0.0063926845
14,1.0594631,18.3522546853,871827,3419,18.351885943,-0.0003687422,-0.002009288
15,1.0594631,19.4435366409,822896,3227,19.4437861913,0.0002495504,0.0012834456
16,1.0594631,20.5997096045,776710,3046,20.5991786078,-0.0005309967,-0.0025777568
17,1.0594631,21.8246321967,733117,2875,21.8243819267,-0.00025027,-0.0011467449
18,1.0594631,23.1223924834,691970,2714,23.1190486511,-0.0033438323,-0.0144635376
19,1.0594631,24.4973216199,653133,2561,24.5002335179,0.0029118979,0.0118851844
20,1.0594631,25.9540083051,616475,2418,25.9491720592,-0.0048362459,-0.0186373804
21,1.0594631,27.4973140964,581875,2282,27.495660841,-0.0016532554,-0.0060127864
22,1.0594631,29.1323896342,549217,2154,29.1295719774,-0.0028176569,-0.00967284
23,1.0594631,30.8646918323,518392,2033,30.8633044954,-0.0013873369,-0.0044951015
24,1.0594631,32.7000020892,489297,1919,32.6967681288,-0.0032339604,-0.0098907646
25,1.0594631,34.6444455834,461834,1811,34.6466582215,0.0022126381,0.006386296
26,1.0594631,36.7045117156,435914,1709,36.7145102629,0.0099985473,0.0272332307
27,1.0594631,38.8870757662,411448,1614,38.875525427,-0.0115503392,-0.0297110818
28,1.0594631,41.1994218412,388355,1523,41.1983572155,-0.0010646257,-0.0025841459
29,1.0594631,43.6492671821,366558,1437,43.6639513147,0.0146841326,0.0336298759
30,1.0594631,46.2447879214,345985,1357,46.2380973023,-0.0066906191,-0.0144699274
31,1.0594631,48.9946463701,326566,1281,48.9813411703,-0.0133051997,-0.0271638126
32,1.0594631,51.9080199266,308238,1209,51.8983441185,-0.0096758082,-0.0186437705
33,1.0594631,54.9946317063,290937,1141,54.991321682,-0.0033100243,-0.0060191758
34,1.0594631,58.264782991,274608,1077,58.2591439547,-0.0056390363,-0.0096792295
35,1.0594631,61.7293876084,259196,1016,61.7569862591,0.0275986506,0.044689115
36,1.0594631,65.4000083567,244648,959,65.4276309064,0.0276225496,0.0422184775
37,1.0594631,69.2888955937,230917,906,69.2550750985,-0.0338204952,-0.0488346813
38,1.0594631,73.4090281212,217957,855,73.386079578,-0.0229485432,-0.0312709758
39,1.0594631,77.7741565013,205724,807,77.751050854,-0.0231056473,-0.0297174726
40,1.0594631,82.3988489468,194177,761,82.4508515627,0.0520026159,0.0630710477
41,1.0594631,87.2985399416,183279,719,87.2671739071,-0.0313660344,-0.0359425349
42,1.0594631,92.489581752,172992,678,92.5443923882,0.0548106363,0.0592263181
43,1.0594631,97.9892990006,163283,640,98.0392156863,0.0499166856,0.0509150194
44,1.0594631,103.816046486,154119,604,103.8826126477,0.0665661617,0.0640782514
45,1.0594631,109.9892704398,145469,570,110.079119367,0.0898489272,0.0816221348
46,1.0594631,116.5295734269,137304,538,116.6265762811,0.0970028541,0.0831738847
47,1.0594631,123.4587831046,129598,508,123.5139725181,0.0551894136,0.044682729
48,1.0594631,130.8000250702,122324,480,130.7189542484,-0.0810708218,-0.0620191787
49,1.0594631,138.577800041,115459,453,138.5101501969,-0.067649844,-0.0488410733
50,1.0594631,146.8180656226,108978,427,146.944023511,0.1259578885,0.0857182793
51,1.0594631,155.5483229405,102862,403,155.6950323554,0.1467094149,0.0942287064
52,1.0594631,164.7977084223,97089,381,164.6852966909,-0.1124117315,-0.0682585111
53,1.0594631,174.597091038,91640,359,174.7774318641,0.1803408261,0.1031831308
54,1.0594631,184.9791753221,86496,339,185.0887847764,0.1096094543,0.059219933
55,1.0594631,195.9786105222,81642,320,196.0784313725,0.0998208503,0.0509086337
56,1.0594631,207.6321062376,77059,302,207.7652252954,0.1331190579,0.0640718665
57,1.0594631,219.978554934,72734,285,220.1582387341,0.1796838001,0.0816157511
58,1.0594631,233.0591617439,68652,269,233.2531525621,0.1939908183,0.0831675011
59,1.0594631,246.9175819846,64799,254,247.0279450363,0.1103630517,0.0446763429
60,1.0594631,261.6000668539,61162,240,261.4379084967,-0.1621583571,-0.0620255716
61,1.0594631,277.1556177892,57729,226,277.6331771647,0.4775593755,0.1720109175
62,1.0594631,293.6361500054,54489,214,293.2013927066,-0.4347572988,-0.1482794112
63,1.0594631,311.0966657568,51431,202,310.6192972238,-0.4773685329,-0.1536828321
64,1.0594631,329.5954379023,48544,190,330.2373581011,0.6419201988,0.1943814602
65,1.0594631,349.1942043858,45820,180,348.5838779956,-0.6103263902,-0.1750873832
66,1.0594631,369.9583742807,43248,170,369.0888119954,-0.8695622853,-0.2355970317
67,1.0594631,391.9572460864,40821,160,392.1568627451,0.1996166587,0.050902248
68,1.0594631,415.2642390061,38530,151,415.5304505908,0.2662115847,0.0640654817
69,1.0594631,439.9571379766,36367,143,438.7769093651,-1.1802286114,-0.268981477
70,1.0594631,466.1183532678,34326,135,464.7785039942,-1.3398492736,-0.2882769453
71,1.0594631,493.83519552,32399,127,494.0558900726,0.2206945526,0.0446699568
72,1.0594631,523.2001671347,30581,120,522.8758169935,-0.3243501412,-0.0620319645
73,1.0594631,554.311270993,28865,113,555.2663543293,0.9550833363,0.1720045396
74,1.0594631,587.2723375312,27245,107,586.4027854132,-0.869552118,-0.1482858096
75,1.0594631,622.1933712651,25715,101,621.2385944477,-0.9547768174,-0.1536892308
76,1.0594631,659.1909179199,24272,95,660.4747162023,1.2837982823,0.1943750837
77,1.0594631,698.3884533913,22910,90,697.1677559913,-1.2206974,-0.1750937833
78,1.0594631,739.9167958342,21624,85,738.1776239908,-1.7391718434,-0.2356034357
79,1.0594631,783.9145422565,20410,80,784.3137254902,0.3991832337,0.0508958623
80,1.0594631,830.5285310742,19265,76,825.5933952528,-4.9351358213,-0.5977683264
81,1.0594631,879.9143321703,18184,71,883.7337752002,3.8194430299,0.4321938504
82,1.0594631,932.2367660956,17163,67,936.4940005853,4.2572344897,0.4545928204
83,1.0594631,987.6704541416,16200,64,980.3921568627,-7.2782972789,-0.7423863224
84,1.0594631,1046.4004011233,15291,60,1045.7516339869,-0.6487671363,-0.0620383574
85,1.0594631,1108.6226128153,14432,57,1100.7911936705,-7.8314191448,-0.7114354829
86,1.0594631,1174.5447501034,13622,53,1183.8697743248,9.3250242214,0.7876731397
87,1.0594631,1244.3868220333,12858,50,1254.9019607843,10.515138751,0.8379251192
88,1.0594631,1318.3819200705,12136,48,1307.1895424837,-11.1923775869,-0.8562168854
89,1.0594631,1396.7769960219,11455,45,1394.3355119826,-2.4414840393,-0.1751001834
90,1.0594631,1479.833686214,10812,42,1493.9309056956,14.0972194816,0.943632629
91,1.0594631,1567.8291846807,10205,40,1568.6274509804,0.7982662997,0.0508894766
92,1.0594631,1661.0571682723,9632,38,1651.1867905057,-9.8703777666,-0.5977747535
93,1.0594631,1759.828776775,9092,36,1742.9193899782,-16.9093867968,-0.9701760675
94,1.0594631,1864.4736513113,8582,34,1845.4440599769,-19.0295913343,-1.0311659804
95,1.0594631,1975.3410344865,8100,32,1960.7843137255,-14.556720761,-0.7423927588
96,1.0594631,2092.8009359543,7645,30,2091.5032679739,-1.2976679805,-0.0620447503
97,1.0594631,2217.2453672891,7216,28,2240.8963585434,23.6509912544,1.0554254847
98,1.0594631,2349.0896502887,6811,27,2323.892519971,-25.1971303178,-1.084264014
99,1.0594631,2488.7738030728,6429,25,2509.8039215686,21.0301184958,0.8379187838
100,1.0594631,2636.7640086023,6068,24,2614.3790849673,-22.384923635,-0.856223329
101,1.0594631,2793.5541705222,5727,22,2852.0499108734,58.4957403512,2.0510068961
102,1.0594631,2959.6675615194,5406,21,2987.8618113912,28.1942498718,0.9436263004
103,1.0594631,3135.6585696968,5103,20,3137.2549019608,1.596332264,0.0508830909
104,1.0594631,3322.1145487925,4816,19,3302.3735810114,-19.7409677812,-0.5977811806
105,1.0594631,3519.6577784188,4546,18,3485.8387799564,-33.8189984624,-0.9701825184
106,1.0594631,3728.9475408627,4291,17,3690.8881199539,-38.0594209088,-1.0311724352
107,1.0594631,3950.6823213798,4050,16,3921.568627451,-29.1136939288,-0.7423991952
108,1.0594631,4185.6021393242,3823,15,4183.0065359477,-2.5956033765,-0.0620511432
109,1.0594631,4434.4910178951,3608,14,4481.7927170868,47.3016991918,1.0554191632
110,1.0594631,4698.1796007413,3406,13,4826.5460030166,128.3664022753,2.6595913971
111,1.0594631,4977.5479241581,3214,13,4826.5460030166,-151.0019211415,-3.1285710537
112,1.0594631,5273.5283541271,3034,12,5228.7581699346,-44.7701841925,-0.8562297727
113,1.0594631,5587.1086980014,2864,11,5704.0998217469,116.9911237455,2.0510006382
114,1.0594631,5919.3355012215,2703,11,5704.0998217469,-215.2356794746,-3.7733505058
115,1.0594631,6271.3175400642,2551,10,6274.5098039216,3.1922638574,0.0508767052
116,1.0594631,6644.2295220808,2408,9,6971.6775599129,327.448037832,4.6968327927
117,1.0594631,7039.3160065753,2273,9,6971.6775599129,-67.6384466624,-0.9701889693
118,1.0594631,7457.8955582058,2145,8,7843.137254902,385.2416966961,4.9118316329
119,1.0594631,7901.365147573,2025,8,7843.137254902,-58.227892671,-0.7424056316
120,1.0594631,8371.2048134796,1911,7,8963.5854341737,592.380620694,6.6087462996
121,1.0594631,8868.9826024241,1804,7,8963.5854341737,94.6028317496,1.0554128417
122,1.0594631,9396.3598018103,1703,7,8963.5854341737,-432.7743676366,-4.8281390389
123,1.0594631,9955.0964843413,1607,6,10457.5163398693,502.419855528,4.8043898685
124,1.0594631,10547.0573820993,1517,6,10457.5163398693,-89.54104223,-0.8562362163
125,1.0594631,11174.2181099168,1432,6,10457.5163398693,-716.7017700476,-6.8534606761
126,1.0594631,11838.6717588086,1352,5,12549.0196078431,710.3478490345,5.660584422
127,1.0594631,12542.6358814698,1276,5,12549.0196078431,6.3837263733,0.0508703195
